Ticker,Name,Exchange,MarketCapCategory,MarketCap
A,Agilent Technologies,NYSE,Large,38549073920
AA,Alcoa Inc.,NYSE,Mid,5292587520
AAN,Aaron's Inc,NYSE,Small,313908256
AAT,American Assets Trust,NYSE,Small,1691936384
AB,Alliance Capital Management L.P.,NYSE,Mid,3753025280
ABBV,Abbvie Inc. Common Stock,NYSE,Mega,293865324544
ABM,Abm Industries Incorporated,NYSE,Mid,2588620032
ABR,Arbor Realty Trust,NYSE,Mid,2491054080
ABT,Abbot Laboratories,NYSE,Large,198153895936
ACI,Arch Coal,NYSE,Large,12220688384
ACM,Aecom Technology Corp.,NYSE,Large,12142773248
ACN,Accenture Plc.,NYSE,Mega,229921095680
ACP,Avenue Income Credit Strategies,NYSE,Small,356448032
ACRE,Ares Commercial Real Estate Cor,NYSE,Small,514064992
ACT,Actavis Inc.,NYSE,Mid,4492445696
ADC,Agree Realty Corp.,NYSE,Mid,6094384128
ADM,Archer-Daniels-Midland Company,NYSE,Large,30077300736
ADT,Adt Corporation Common Stock W,NYSE,Mid,6019491328
ADX,Adams Express Company,NYSE,Mid,2212653568
AEE,Ameren Corp.,NYSE,Large,18516586496
AEG,Aegon Nv,NYSE,Large,10493238272
AEL,American Equity Investment Life,NYSE,Mid,4358217728
AEM,Agnico-Eagle Mines Limited,NYSE,Large,25208932352
AEO,American Eagle Outfitters,NYSE,Mid,3925080320
AEP,American Electric Power Company,NYSE,Large,41591529472
AER,Aercap Holdings N.V.,NYSE,Large,15622638592
AES,The Aes Corp.,NYSE,Large,11299989504
AFB,Alliance National Municipal,NYSE,Small,314181760
AFG,American Financial Group  ,NYSE,Mid,9819595776
AFL,Aflac Incorporated,NYSE,Large,44509306880
AG,First Majestic Silver,NYSE,Small,1391534080
AGCO,Agco Corp.,NYSE,Mid,9202740224
AGI,Alamos Gold Inc.,NYSE,Mid,5033519616
AGM,Federal Agricultural Mortgage Corp.,NYSE,Small,1946043904
AGM-A,Federal Agricultural Mortgage  ,NYSE,Small,1970369664
AGO,Assured Guaranty Ltd,NYSE,Mid,4637498368
AGRO,Adecoagro S.A.,NYSE,Small,1103703296
AHH,Armada Hoffler Properties Inc.,NYSE,Small,1052055936
AHL-PC,Aspen Insurance Holdings Limite,NYSE,Small,1546170368
AI,Arlington Asset Investment Corp,NYSE,Mid,2943884288
AIG,American International Group,NYSE,Large,48166965248
AIN,Albany International Corp.,NYSE,Mid,2787719936
AIR,Aar ,NYSE,Mid,2200273664
AIT,Applied Industrial Technologies,NYSE,Mid,6945815552
AIV,Apartment Investment And Management,NYSE,Small,1080810368
AIZ,Assurant,NYSE,Mid,8774478848
AJG,Arthur J. Gallagher & Co.,NYSE,Large,49846444032
AKR,Acadia Realty Trust,NYSE,Small,1870289280
AL,Air Lease Corporation Class A C,NYSE,Mid,4729750016
ALB,Albemarle Corp.,NYSE,Large,13591237632
ALE,Allete,NYSE,Mid,3426222080
ALEX,Alexander And Baldwin Inc,NYSE,Small,1250525824
ALG,Alamo Group,NYSE,Mid,2543919104
ALK,Alaska Air Group,NYSE,Mid,4501412864
ALL,Allstate Corporation,NYSE,Large,40756441088
ALSN,Allison Transmission Holdings,NYSE,Mid,5463936000
ALV,Autoliv,NYSE,Mid,9099352064
ALX,Alexander's,NYSE,Small,1114563840
AM,American Greetings Corp.,NYSE,Mid,5960434176
AMD,Advanced Micro Devices,NYSE,Mega,272324853760
AME,Amtek,NYSE,Large,38031060992
AMG,Affiliated Managers Group  ,NYSE,Mid,5084475392
AMH,American Homes 4 Rent,NYSE,Large,14554909696
AMP,Ameriprise Financial Services,NYSE,Large,38512812032
AMRC,Ameresco Inc,NYSE,Small,1113639552
AMT,American Tower Corp.,NYSE,Large,91554799616
AMTD,TD Ameritrade Holding Corp.,NYSE,Mid,3532361984
AMX,American Movil S.A.B. De C.V.,NYSE,Large,57036660736
AN,Autonation,NYSE,Mid,6066399744
ANF,Abercrombie & Fitch Company,NYSE,Mid,5273171456
AOD,Alpine Total Dynamic Dividend,NYSE,Small,847138048
AON,Aon Plc,NYSE,Large,59866587136
AOS,Smith [A.O.] Corp.,NYSE,Large,11745905664
APA,Apache Corp.,NYSE,Mid,9529564160
APAM,Artisan Partners Asset Manageme,NYSE,Mid,2952544000
APD,Air Products And Chemicals,NYSE,Large,57269264384
APH,Amphenol Corp.,NYSE,Large,60758384640
APO,Apollo Global Management LLc C,NYSE,Large,56468885504
ARDC,Ares Dynamic Credit Allocation,NYSE,Small,308550464
ARE,Alexandria Real Estate Equities,NYSE,Large,20900802560
ARI,Apollo Commercial Real Estate,NYSE,Small,1566964608
ARL,American Realty Investors,NYSE,Small,378128032
ARR,Armour Residential R,NYSE,Small,946640064
ARW,Arrow Electronics,NYSE,Mid,5994091520
ASC,Ardmore Shipping Corporation,NYSE,Small,688864000
ASG,Liberty All-Star Growth Fund,NYSE,Small,306326624
ASGN,On Assignment,NYSE,Mid,4383936000
ASH,Ashland Inc.,NYSE,Mid,4820564480
ASR,Grupo Aeroporuario Del Sureste,NYSE,Mid,8914350080
ASX,Advanced Semiconductor Engineering,NYSE,Large,19520225280
ATI,Allagheny Technologies Inc.,NYSE,Mid,4912990208
ATO,Atmos Energy Llc,NYSE,Large,17329317888
ATR,Aptargroup,NYSE,Mid,8587584512
AU,Anglogold Ashanti Ltd,NYSE,Mid,7789335040
AVA,Avista Corp.,NYSE,Mid,2630498304
AVB,Avalonbay Communities,NYSE,Large,24908722176
AVD,American Vanguard Corp.,NYSE,Small,309066816
AVK,Advent Claymore Convertible Securities,NYSE,Small,406823104
AVT,Avnet,NYSE,Mid,4056460544
AVY,Avery Dennison Corp.,NYSE,Large,15953651712
AWF,Alliance World Dollar Fund II,NYSE,Small,902247168
AWI,Armstrong World Industries Inc,NYSE,Mid,4435260416
AWK,American Water Works,NYSE,Large,24182360064
AWP,Alpine Global Premier Propertie,NYSE,Small,320707040
AWR,American States Water Company,NYSE,Mid,2785008896
AXL,American Axle & Manufacturing,NYSE,Small,962241472
AXP,American Express Company,NYSE,Large,146400280576
AXS,Axis Capital Holdings,NYSE,Mid,4833630720
AYI,Acuity Brands Inc,NYSE,Mid,7347341312
AZN,Astrazeneca Plc,NYSE,Mega,209005445120
AZO,Autozone,NYSE,Large,47725645824
AZZ,Azz Inc.,NYSE,Small,1593636992
BCC,Boise Cascade L.L.C. Common ST,NYSE,Mid,5445972992
BCE,Bce,NYSE,Large,37237207040
BCH,Banco De Chile,NYSE,Large,11613047808
BCO,Brink's Company,NYSE,Mid,3679098112
BCS,Barclays Plc,NYSE,Large,29266925568
BCX,Blackrock Resources Common Shar,NYSE,Small,742506048
BDC,Belden Inc,NYSE,Mid,3113198848
BDJ,Blackrock Enhanced Dividend Achievers,NYSE,Small,1484492288
BDN,Brandywine Realty Trust,NYSE,Small,748281728
BDX,Becton Dickinson And Company,NYSE,Large,70066012160
BEAM,Beam Inc,NYSE,Mid,2122366720
BEN,Franklin Resources,NYSE,Large,14059099136
BEP,Brookfield Renewable,NYSE,Large,17297924096
BERY,Berry Plastics Group Inc.,NYSE,Mid,7621620736
BFAM,Bright Horizons Family Solutions Inc.,NYSE,Mid,5724767744
BFK,Blackrock Florida Muni 2020 Trust,NYSE,Small,456699072
BFS,Saul Centers,NYSE,Small,1260312192
BFZ,Blackrock California Muni Trust,NYSE,Small,360262976
BG,Bunge Limited,NYSE,Large,13004729344
